var,value,label
ANCESTOR,102,Belorussian
ANCESTOR,103,Bulgarian
ANCESTOR,109,Croatian
ANCESTOR,111,Czechoslovakian
ANCESTOR,130,Macedonian
ANCESTOR,142,Polish
ANCESTOR,143,Kashubian
ANCESTOR,148,Russian
ANCESTOR,150,Muscovite
ANCESTOR,152,Serbian
ANCESTOR,153,Slovak
ANCESTOR,154,Slovene
ANCESTOR,155,Sorb/Wend
ANCESTOR,171,Ukrainian
ANCESTOR,178,Slav
ANCESTOR,179,Slavonian
BPLD,rus,46500
BPLD,bel,46510
BPLD,ukr,46530
BPLD,srb,45730
BPLD,alb,43000
BPLD,mac,43330
BPLD,arm,46540
BPLD,geo,46542
BPLD,rom,45600
BPLD,bul,45100
