GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,A7G001,A7G002,A7G003,A7G004,A7G005,A7G006,A7G007,A7G008,A7G009,A7G010,A7G011,A7G012,A7G013,A7G014,A7G015,A7G016,A7G017,A7G018,A7G019,A7G020,A7G021,A7G022,A7G023,A7G024,A7G025,A7G026,A7G027,A7G028,A7G029,A7G030,A7G031,A7G032,A7G033,A7G034,A7G035,A7G036,A7G037,A7G038,A7G039,A7G040,A7G041,A7G042,A7G043,A7G044,A7G045,A7G046,A7G047,A7G048,A7G049,A7G050,A7G051,A7G052,A7G053,A7G054,A7G055,A7G056,A7G057,A7G058,A7G059,A7G060,A7G061,A7G062,A7G063,A7G064,A7G065,A7G066,A7G067,A7G068,A7G069,A7G070,A7G071,A7G072,A7G073,A7G074,A7G075,A7G076,A7G077,A7G078,A7G079,A7G080,A7G081,A7G082,A7G083,A7G084,A7G085,A7G086,A7G087,A7G088,A7G089,A7G090,A7G091,A7G092,A7G093,A7G094,A7G095,A7G096,A7G097,A7G098,A7G099,A7G100,A7G101,A7G102,A7G103,A7G104,A7G105,A7G106,A7G107,A7G108,A7G109,A7H001
"G0100010","1916","Alabama","010","Autauga","0010","Autauga","41","10",0,0,0,0,0,89,0,0,0,4869,0,0,0,0,1711,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1777,729,0,0,142,0,0,128,1277,0,0,34,0,0,0,0,0,0,0,0,0,0,0,372,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11262
"G0100030","1916","Alabama","010","Baldwin","0030","Baldwin","41","30",0,0,0,0,0,0,0,0,0,1526,0,0,0,0,1234,0,0,0,0,0,0,0,0,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,1979,0,0,118,0,0,169,1196,0,0,0,0,0,0,0,332,0,0,0,0,0,0,263,0,0,270,0,0,0,0,931,0,0,0,0,0,0,0,0,0,155,0,0,0,0,9127
"G0100050","1916","Alabama","010","Barbour","0050","Barbour","41","50",0,0,0,0,0,0,0,0,0,5841,0,91,0,0,2386,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2563,0,0,0,0,0,112,0,1773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,92,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,145,0,0,13778
"G0100070","1916","Alabama","010","Bibb","0070","Bibb","41","70",0,0,0,0,0,0,0,0,0,3799,0,0,0,0,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,423,0,0,41,0,0,0,1632,0,0,0,0,0,0,0,266,0,0,0,0,0,0,135,253,0,8,0,0,0,0,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11323
"G0100090","1916","Alabama","010","Blount","0090","Blount","41","90",0,0,0,0,0,0,0,0,0,427,0,157,0,0,3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,132,1534,2113,0,0,0,0,0,0,0,154,0,0,0,0,109,0,0,70,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,63,0,0,0,0,8148
"G0100110","1916","Alabama","010","Bullock","0110","Bullock","41","110",0,0,0,0,0,0,0,0,0,9365,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325,1791,0,0,700,0,0,250,1007,0,0,41,0,0,0,0,5,0,0,0,0,0,0,333,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15865
"G0100130","1916","Alabama","010","Butler","0130","Butler","41","130",0,0,0,0,0,0,0,0,0,6151,0,130,0,0,3233,0,0,0,0,0,0,0,0,0,15,78,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,2917,0,0,0,0,0,0,1862,0,0,419,0,0,0,0,200,0,0,0,0,0,0,39,0,0,40,0,0,0,0,41,0,0,0,0,0,0,0,0,0,462,0,0,0,0,16068
"G0100150","1916","Alabama","010","Calhoun","0150","Calhoun","41","150",0,0,0,0,0,55,0,0,0,3854,0,130,0,0,6630,0,0,0,0,0,0,0,0,0,194,275,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,240,0,0,2100,0,467,252,3262,0,0,0,0,0,0,0,174,0,0,0,0,50,0,766,66,0,349,0,0,0,0,170,0,0,0,0,0,0,0,0,0,95,0,0,0,0,19567
"G0100170","1916","Alabama","010","Chambers","0170","Chambers","41","170",0,0,0,0,0,0,0,0,0,8556,0,338,0,0,2948,0,0,0,0,0,776,0,0,0,67,274,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,154,0,0,1280,0,0,1600,3170,0,0,0,0,0,0,0,40,0,0,0,0,0,0,147,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,95,0,0,0,0,19588
"G0100190","1916","Alabama","010","Cherokee","0190","Cherokee","41","190",0,0,0,0,0,0,0,0,0,543,0,45,0,0,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,83,820,2479,0,0,0,0,0,0,0,89,0,0,0,0,153,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,72,0,0,0,0,7203
