GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BCV001,BCV002,BCV003,BCV004,BCV005,BCV006,BCV007,BCV008,BCV009,BCV010,BCV011,BCV012,BCV013,BCV014,BCV015,BCV016,BCV017,BCV018,BCV019,BCV020,BCV021,BCV022,BCV023,BCV024,BCV025,BCV026,BCV027,BCV028,BCV029,BCV030,BCV031,BCV032,BCV033,BCV034,BCV035,BCV036,BCV037,BCV038,BCV039,BCV040,BCV041,BCV042,BCV043,BCV044,BCV045,BCV046,BCV047,BCV048,BCV049,BCV050,BCV051,BCV052,BCV053,BCV054,BCV055,BCV056,BCV057,BCV058,BCV059,BCV060,BCV061,BCV062,BCV063,BCV064,BCV065,BCV066,BCV067,BCV068,BCV069,BCV070,BCV071,BCV072,BCV073,BCV074,BCV075,BCV076,BCV077,BCV078,BCV079,BCV080,BCV081,BCV082,BCW001
"G0100010","1926","Alabama","010","Autauga","0010","Autauga","41","10",0,0,0,131,0,0,0,0,0,0,0,3450,0,1956,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,1122,75,137,1631,170,0,0,0,0,0,0,337,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,10897
"G0100030","1926","Alabama","010","Baldwin","0030","Baldwin","41","30",0,0,0,743,0,0,0,0,0,0,0,1968,0,1628,0,0,0,0,86,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,1278,172,149,1604,40,0,0,0,0,0,0,473,0,0,363,0,0,0,1462,0,0,0,0,0,0,0,0,0,0,0,0,10534
"G0100050","1926","Alabama","010","Barbour","0050","Barbour","41","50",0,0,0,152,0,0,0,0,0,0,0,10441,0,2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3023,0,0,0,2038,0,0,0,0,0,0,0,517,0,0,149,0,0,0,72,0,0,0,0,0,0,0,0,0,0,23,0,19111
"G0100070","1926","Alabama","010","Bibb","0070","Bibb","41","70",0,0,0,533,0,0,0,0,0,0,0,4349,0,3997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,1037,37,0,1385,0,0,0,0,0,0,0,85,0,0,18,0,0,0,206,0,0,0,0,0,0,0,0,0,0,7,0,12037
"G0100090","1926","Alabama","010","Blount","0090","Blount","41","90",0,0,0,285,0,0,0,0,0,0,0,188,0,4009,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,242,0,8491
"G0100110","1926","Alabama","010","Bullock","0110","Bullock","41","110",0,0,0,69,0,0,0,0,0,0,0,8622,0,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1219,1376,95,260,1177,0,0,0,0,0,0,0,295,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14129
"G0100130","1926","Alabama","010","Butler","0130","Butler","41","130",0,0,0,499,0,0,0,0,0,0,0,7551,0,3403,0,0,0,0,536,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3701,0,0,2617,261,0,0,0,0,0,0,52,0,0,90,0,0,0,25,0,0,0,0,0,0,0,0,0,0,264,0,19161
"G0100150","1926","Alabama","010","Calhoun","0150","Calhoun","41","150",0,0,0,1487,0,0,0,0,0,0,0,4377,0,7975,0,0,0,0,397,0,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,480,790,429,4977,0,0,0,0,0,0,0,782,0,0,551,0,0,0,170,0,0,0,0,0,0,0,0,0,0,100,0,23133
"G0100170","1926","Alabama","010","Chambers","0170","Chambers","41","170",0,0,0,847,0,0,0,0,0,0,0,7551,0,3908,0,0,0,0,122,0,0,0,0,0,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,203,945,1173,3462,0,0,0,0,0,0,0,127,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,264,0,19113
"G0100190","1926","Alabama","010","Cherokee","0190","Cherokee","41","190",0,0,0,275,0,0,0,0,0,0,0,771,0,3322,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,791,2524,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8011
"G0100210","1926","Alabama","010","Chilton","0210","Chilton","41","210",0,0,0,488,0,0,0,0,0,0,0,3241,0,5895,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,224,431,562,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,11023
