GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,BTV001,BTV002,BTV003,BTV004,BTV005,BTV006,BTV007,BTV008,BTV009,BTV010,BTV011,BTV012,BTV013,BTV014,BTV015,BTV016,BTV017,BTV018,BTV019,BTV020,BTV021,BTV022,BTV023,BTV024,BTV025,BTV026,BTV027,BTV028,BTV029,BTV030,BTV031,BTV032,BTV033,BTV034,BTV035,BTV036,BTV037,BTV038,BTV039,BTV040,BTV041,BTV042,BTV043,BTV044,BTV045,BTV046,BTV047,BTV048,BTV049,BTV050,BTV051,BTV052,BTV053,BTV054,BTV055,BTV056,BTV057,BTV058,BTV059,BTV060,BTV061,BTV062,BTV063,BTV064,BTV065,BTV066,BTV067,BTV068,BTV069,BTV070,BTV071,BTV072,BTV073,BTV074,BTW001
"G0100010","1936","Alabama","010","Autauga","0010","Autauga","41","10",0,0,258,0,0,0,23,0,0,3304,0,0,0,2323,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2603,415,0,148,769,155,0,0,306,0,0,21,0,0,0,0,0,0,0,0,0,10340
"G0100030","1936","Alabama","010","Baldwin","0030","Baldwin","41","30",0,0,1081,0,0,0,0,0,0,3026,0,0,0,1629,0,0,0,0,0,181,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,577,761,0,12,1156,0,0,0,536,0,0,316,0,0,1103,0,0,0,0,0,0,10732
"G0100050","1936","Alabama","010","Barbour","0050","Barbour","41","50",0,0,170,0,0,0,0,318,0,7862,0,52,0,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3113,0,0,0,1020,0,0,0,502,0,0,0,0,0,59,0,0,0,0,0,0,13672
"G0100070","1936","Alabama","010","Bibb","0070","Bibb","41","70",0,0,246,0,0,0,21,33,0,3906,0,0,0,3153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,371,27,0,1137,0,0,0,100,100,0,3,0,0,32,0,0,0,0,0,0,9634
"G0100090","1936","Alabama","010","Blount","0090","Blount","41","90",0,0,688,0,0,0,0,0,0,457,0,211,0,3771,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,1481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7638
"G0100110","1936","Alabama","010","Bullock","0110","Bullock","41","110",0,0,30,0,0,0,0,0,0,7962,0,0,0,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2233,709,937,99,723,0,0,0,202,0,0,20,0,0,0,0,0,0,0,0,0,13831
"G0100130","1936","Alabama","010","Butler","0130","Butler","41","130",0,0,758,0,0,0,0,0,0,5655,0,127,0,3641,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,3035,0,0,1581,68,0,0,69,0,0,69,0,0,22,0,0,0,0,0,0,15370
"G0100150","1936","Alabama","010","Calhoun","0150","Calhoun","41","150",0,0,1308,0,0,0,0,0,0,6572,0,34,0,6579,0,0,0,0,0,315,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,667,186,2272,430,4496,0,0,0,817,80,0,647,0,0,130,0,0,0,0,0,0,25011
"G0100170","1936","Alabama","010","Chambers","0170","Chambers","41","170",0,0,871,0,0,0,0,0,0,7900,0,293,0,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,2001,241,2817,0,0,0,88,0,0,0,0,0,20,0,0,0,0,0,0,18114
"G0100190","1936","Alabama","010","Cherokee","0190","Cherokee","41","190",0,0,305,0,0,0,0,0,0,827,0,0,0,2230,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,275,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5465
